Platform,Action,"Action, Adventure",Adventure,Fighting,Platformer,Puzzle,RPG,Racing,Shooter,Simulation,Sports,Strategy
Dreamcast,6.8828571428571435,7.51111111111111,6.281818181818181,8.2,8.34,8.088888888888889,7.7,7.0424999999999995,7.616666666666668,7.628571428571428,7.272222222222222,6.433333333333333
Game Boy Advance,6.373076923076922,7.507692307692309,6.057142857142857,6.226315789473684,6.970588235294118,6.5321428571428575,7.542857142857143,6.6571428571428575,6.444444444444445,6.928571428571429,6.694444444444444,7.175000000000001
Game Boy Color,6.2727272727272725,8.166666666666666,5.3076923076923075,4.5,6.352941176470588,6.583333333333333,7.285714285714286,5.897435897435898,4.5,5.9,5.790697674418604,7.4
GameCube,6.5325842696629195,7.608333333333334,6.753846153846154,7.422222222222222,6.665714285714286,6.133333333333333,7.890909090909091,6.85263157894737,6.981818181818183,8.028571428571428,7.4813186813186805,7.116666666666667
Nintendo 3DS,6.670833333333333,7.4818181818181815,7.414285714285713,6.614285714285714,7.50344827586207,7.999999999999999,7.71923076923077,6.9,7.033333333333332,7.7,6.388888888888889,7.900000000000001
Nintendo 64,6.649056603773586,8.25,7.0,5.6812499999999995,6.889655172413795,7.461538461538462,6.050000000000001,6.939622641509434,8.042857142857143,5.675,6.967857142857146,6.9
Nintendo DS,5.90360824742268,7.239999999999999,6.259803921568627,6.32,6.839999999999999,6.604615384615385,7.222619047619048,6.038636363636365,6.965217391304347,5.874358974358975,5.936666666666668,6.644736842105263
Nintendo DSi,6.827027027027027,8.5,6.090909090909091,7.5,7.25,6.810526315789474,7.166666666666667,6.5636363636363635,6.5,5.195652173913044,5.644444444444444,6.566666666666667
PC,6.805790645879736,7.334745762711864,7.13679775280899,7.166666666666667,7.4109375,6.924705882352943,7.759930313588847,7.032417582417583,7.0848780487804905,7.104888888888888,6.9024242424242415,7.310207336523128
PlayStation,6.016406249999999,7.933333333333334,6.31372549019608,6.553731343283583,6.57906976744186,6.757894736842106,7.909999999999999,6.773387096774193,6.4239999999999995,6.918181818181818,6.751219512195119,6.496875
PlayStation 2,6.467361111111114,7.249999999999999,6.315151515151516,7.306349206349208,7.06842105263158,6.354545454545455,7.473076923076923,6.585064935064935,6.6416666666666675,7.152631578947367,7.197826086956523,7.23888888888889
PlayStation 3,6.853819444444444,7.306153846153846,6.820987654320987,7.710937500000001,7.735714285714285,7.3500000000000005,7.436111111111111,6.978571428571429,7.219553072625698,7.142857142857143,7.485815602836878,7.355172413793104
PlayStation 4,7.55,7.8352941176470585,7.388571428571429,7.279999999999999,8.39090909090909,7.3999999999999995,7.944,7.589999999999999,7.804444444444443,9.25,7.4300000000000015,6.566666666666666
PlayStation Portable,6.467796610169487,7.0,6.938095238095237,6.822222222222222,7.194736842105263,6.726666666666666,6.817777777777777,6.401960784313726,7.071052631578948,6.761538461538462,6.956790123456789,6.550000000000001
PlayStation Vita,7.173076923076923,6.133333333333334,8.057142857142859,7.527272727272727,8.56875,8.25,7.3375,6.3,7.659999999999999,5.725,7.130000000000001,8.9
Wii,6.262717770034842,7.294642857142857,6.23404255319149,6.733333333333333,7.054255319148935,6.426984126984126,7.410344827586206,5.011666666666668,6.47979797979798,6.327027027027026,5.9669014084507035,6.9750000000000005
Wireless,7.041698841698844,7.3125,6.972413793103448,6.739999999999999,7.509090909090909,7.360550458715593,8.26,6.898305084745762,6.906779661016946,7.802857142857143,7.417699115044249,7.5428571428571445
Xbox,6.819512195121949,7.4790322580645165,6.821428571428571,7.02962962962963,7.3034482758620705,5.125,8.277777777777779,7.021590909090909,7.485416666666668,7.155555555555556,7.884397163120564,7.3133333333333335
Xbox 360,6.719047619047618,7.137837837837838,6.857352941176469,7.552238805970149,7.559574468085106,7.141025641025641,7.6499999999999995,6.996153846153845,7.338152610441768,7.325,7.31785714285714,7.112244897959185
Xbox One,7.702857142857144,7.566666666666667,7.254545454545454,7.171428571428571,6.7333333333333325,8.1,8.291666666666666,8.163636363636364,8.019999999999998,7.733333333333333,7.331818181818182,8.5
iPhone,6.865445026178009,7.764285714285714,7.745833333333334,6.0875,7.471929824561404,7.810784313725489,7.185185185185185,7.315789473684211,6.995588235294116,7.328571428571428,7.1521739130434785,7.534920634920634
